Fire Size,Fire Size Class,Cause Stat,Lat,Lng,State,Reported Date,Resolved Date,Days to Resolve
1420.0,F,Lightning,33.2418,-104.9122,NM,1994-07-02,1994-07-03,1 days
5.0,B,Lightning,40.8347,-112.8064,UT,2006-08-14,2006-08-15,1 days
1.5,B,Lightning,39.205,-105.18833329999998,CO,1996-07-31,1996-08-01,1 days
2.5,B,Lightning,42.36444444,-112.2322222,ID,2006-07-25,2006-07-26,1 days
108.0,D,Lightning,63.8517,-150.3543,AK,1997-07-01,1997-07-27,26 days
3.0,B,Lightning,36.0602,-118.0965,CA,2003-07-25,2003-07-27,2 days
4.0,B,Lightning,45.63666667,-106.0383333,MT,1994-06-25,1994-06-26,1 days
1.0,B,Lightning,33.9848,-110.0857,AZ,1997-07-18,1997-07-18,0 days
1.5,B,Lightning,33.7319444,-109.026667,NM,2010-07-18,2010-07-21,3 days
1.0,B,Lightning,40.22861111,-120.6713889,CA,2006-06-27,2006-06-28,1 days
76.0,C,Lightning,27.0042,-80.3196,FL,2015-07-08,2015-07-08,0 days
510.0,E,Lightning,47.95055556,-115.6347222,MT,2000-08-11,2000-08-29,18 days
400.0,E,Lightning,34.30833333,-111.9583333,AZ,1993-08-18,1993-08-20,2 days
1.8,B,Lightning,45.28217824,-88.82622296,WI,1994-08-04,1994-08-04,0 days
5.2,B,Lightning,33.7556,-109.6509,AZ,2005-06-06,2005-06-09,3 days
3.0,B,Lightning,39.4555,-109.9757,UT,1996-08-07,1996-08-07,0 days
1.0,B,Lightning,39.28266823,-80.58605765,WV,1995-04-11,1995-04-11,0 days
2.0,B,Lightning,35.6845,-106.5517,NM,2001-07-10,2001-07-11,1 days
2.0,B,Lightning,33.77555556,-108.8855556,NM,2013-11-07,2013-11-07,0 days
5.6,B,Lightning,46.07944444,-117.4258333,WA,2011-08-25,2011-08-26,1 days
1.0,B,Lightning,35.90638889,-106.6447222,NM,2002-08-25,2002-08-25,0 days
32.4,C,Lightning,41.2352,-116.7362,NV,2001-07-11,2001-07-12,1 days
15.0,C,Lightning,34.41000001,-95.91016668,OK,2009-06-25,2009-06-25,0 days
1.0,B,Lightning,29.9604,-93.665,LA,2003-08-18,2003-08-18,0 days
0.6,B,Lightning,34.33805556,-117.7088889,CA,2011-07-30,2011-07-31,1 days
1.0,B,Lightning,35.06555556,-112.0052778,AZ,2001-05-24,2001-05-24,0 days
3.8,B,Lightning,34.383334999999995,-80.966667,SC,2011-07-06,2011-07-06,0 days
